lemma_en,Inglese,Italiano,Spagnolo,asimmetria,ratio_en_it,ratio_en_es
bank,10.0,2.0,8.0,8.0,5.0,1.25
break,59.0,6.0,23.0,53.0,9.83,2.57
deep,15.0,2.0,3.0,13.0,7.5,5.0
foot,11.0,6.0,8.0,5.0,1.83,1.38
free,9.0,2.0,4.0,7.0,4.5,2.25
give,44.0,15.0,32.0,29.0,2.93,1.38
hand,14.0,5.0,6.0,9.0,2.8,2.33
hard,12.0,5.0,8.0,7.0,2.4,1.5
head,33.0,9.0,11.0,24.0,3.67,3.0
key,15.0,6.0,5.0,10.0,2.5,3.0
light,25.0,5.0,4.0,21.0,5.0,6.25
line,30.0,10.0,16.0,20.0,3.0,1.88
mouth,8.0,7.0,6.0,2.0,1.14,1.33
open,21.0,3.0,5.0,18.0,7.0,4.2
right,14.0,8.0,4.0,10.0,1.75,3.5
run,41.0,5.0,7.0,36.0,8.2,5.86
see,24.0,13.0,14.0,11.0,1.85,1.71
table,6.0,2.0,4.0,4.0,3.0,1.5
take,42.0,23.0,16.0,26.0,1.83,2.62
turn,26.0,9.0,14.0,17.0,2.89,1.86
