n_docs,k,p_base,p_hyb,cr_base,cr_hyb
1000,3,0.2,0.5333333333333333,0.7216169357299804,0.720187783241272
1000,10,0.12000000000000002,0.4600000000000001,0.7073103666305542,0.7084930300712585
1000,15,0.09333333333333334,0.4133333333333334,0.7030378460884095,0.7070088386535645
5000,3,0.26666666666666666,0.7333333333333333,0.7252424955368042,0.7331554532051087
5000,10,0.2,0.6,0.7192408323287964,0.7124918341636658
5000,15,0.2,0.56,0.7142012476921081,0.7143934726715088
15000,3,0.06666666666666667,0.5333333333333333,0.7110811591148376,0.7303886651992798
15000,10,0.27999999999999997,0.58,0.7158157587051391,0.7161544799804688
15000,15,0.26666666666666666,0.5733333333333334,0.714548397064209,0.7143910765647888
25000,3,0.13333333333333333,0.6,0.7205939292907715,0.7311336040496826
25000,10,0.22000000000000003,0.6,0.7144628286361694,0.7206975102424622
25000,15,0.24,0.56,0.7162597894668579,0.7182219505310059
44949,3,0.06666666666666667,0.4666666666666666,0.7226731300354003,0.7212144613265992
44949,10,0.22000000000000003,0.52,0.7177976727485657,0.7226470589637757
44949,15,0.18666666666666668,0.5466666666666666,0.7145663022994995,0.7200637340545655
