lemma_en,lemma,lingua,lingua_code,categoria,wn_pos,n_sensi,entropia,top1_share,metodo_entropia
bank,bank,Inglese,eng,sostantivo,n,10,1.3238,0.5208,real_semcor
bank,banca,Italiano,ita,sostantivo,n,2,1.0,0.5,uniform_fallback
bank,banco,Spagnolo,spa,sostantivo,n,8,3.0,0.125,uniform_fallback
hand,hand,Inglese,eng,sostantivo,n,14,0.5639,0.9267,real_semcor
hand,mano,Italiano,ita,sostantivo,n,5,2.3219,0.2,uniform_fallback
hand,mano,Spagnolo,spa,sostantivo,n,6,2.585,0.1667,uniform_fallback
head,head,Inglese,eng,sostantivo,n,33,1.1015,0.8189,real_semcor
head,testa,Italiano,ita,sostantivo,n,9,3.1699,0.1111,uniform_fallback
head,cabeza,Spagnolo,spa,sostantivo,n,11,3.4594,0.0909,uniform_fallback
line,line,Inglese,eng,sostantivo,n,30,3.776,0.2656,real_semcor
line,linea,Italiano,ita,sostantivo,n,10,3.3219,0.1,uniform_fallback
line,línea,Spagnolo,spa,sostantivo,n,16,4.0,0.0625,uniform_fallback
key,key,Inglese,eng,sostantivo,n,15,1.3779,0.6667,real_semcor
key,chiave,Italiano,ita,sostantivo,n,6,2.585,0.1667,uniform_fallback
key,llave,Spagnolo,spa,sostantivo,n,5,2.3219,0.2,uniform_fallback
table,table,Inglese,eng,sostantivo,n,6,1.1852,0.6341,real_semcor
table,tavolo,Italiano,ita,sostantivo,n,2,1.0,0.5,uniform_fallback
table,mesa,Spagnolo,spa,sostantivo,n,4,2.0,0.25,uniform_fallback
mouth,mouth,Inglese,eng,sostantivo,n,8,1.1747,0.7385,real_semcor
mouth,bocca,Italiano,ita,sostantivo,n,7,2.8074,0.1429,uniform_fallback
mouth,boca,Spagnolo,spa,sostantivo,n,6,2.585,0.1667,uniform_fallback
foot,foot,Inglese,eng,sostantivo,n,11,1.5262,0.4759,real_semcor
foot,piede,Italiano,ita,sostantivo,n,6,2.585,0.1667,uniform_fallback
foot,pie,Spagnolo,spa,sostantivo,n,8,3.0,0.125,uniform_fallback
run,run,Inglese,eng,verbo,v,41,3.3312,0.3955,real_semcor
run,correre,Italiano,ita,verbo,v,5,2.3219,0.2,uniform_fallback
run,correr,Spagnolo,spa,verbo,v,7,2.8074,0.1429,uniform_fallback
give,give,Inglese,eng,verbo,v,44,3.6049,0.2295,real_semcor
give,dare,Italiano,ita,verbo,v,15,3.9069,0.0667,uniform_fallback
give,dar,Spagnolo,spa,verbo,v,32,5.0,0.0312,uniform_fallback
take,take,Inglese,eng,verbo,v,42,4.4697,0.1257,real_semcor
take,prendere,Italiano,ita,verbo,v,23,4.5236,0.0435,uniform_fallback
take,tomar,Spagnolo,spa,verbo,v,16,4.0,0.0625,uniform_fallback
see,see,Inglese,eng,verbo,v,24,2.5636,0.5062,real_semcor
see,vedere,Italiano,ita,verbo,v,13,3.7004,0.0769,uniform_fallback
see,ver,Spagnolo,spa,verbo,v,14,3.8074,0.0714,uniform_fallback
break,break,Inglese,eng,verbo,v,59,3.9766,0.1579,real_semcor
break,rompere,Italiano,ita,verbo,v,6,2.585,0.1667,uniform_fallback
break,romper,Spagnolo,spa,verbo,v,23,4.5236,0.0435,uniform_fallback
turn,turn,Inglese,eng,verbo,v,26,1.6288,0.7362,real_semcor
turn,girare,Italiano,ita,verbo,v,9,3.1699,0.1111,uniform_fallback
turn,girar,Spagnolo,spa,verbo,v,14,3.8074,0.0714,uniform_fallback
light,light,Inglese,eng,aggettivo,a,25,3.0453,0.3111,real_semcor
light,leggero,Italiano,ita,aggettivo,a,5,2.3219,0.2,uniform_fallback
light,ligero,Spagnolo,spa,aggettivo,a,4,2.0,0.25,uniform_fallback
hard,hard,Inglese,eng,aggettivo,a,12,1.895,0.4625,real_semcor
hard,duro,Italiano,ita,aggettivo,a,5,2.3219,0.2,uniform_fallback
hard,duro,Spagnolo,spa,aggettivo,a,8,3.0,0.125,uniform_fallback
free,free,Inglese,eng,aggettivo,a,9,1.1875,0.7755,real_semcor
free,libero,Italiano,ita,aggettivo,a,2,1.0,0.5,uniform_fallback
free,libre,Spagnolo,spa,aggettivo,a,4,2.0,0.25,uniform_fallback
right,right,Inglese,eng,aggettivo,a,14,2.1651,0.2899,real_semcor
right,giusto,Italiano,ita,aggettivo,a,8,3.0,0.125,uniform_fallback
right,correcto,Spagnolo,spa,aggettivo,a,4,2.0,0.25,uniform_fallback
open,open,Inglese,eng,aggettivo,a,21,2.8608,0.3696,real_semcor
open,aperto,Italiano,ita,aggettivo,a,3,1.585,0.3333,uniform_fallback
open,abierto,Spagnolo,spa,aggettivo,a,5,2.3219,0.2,uniform_fallback
deep,deep,Inglese,eng,aggettivo,a,15,2.751,0.2581,real_semcor
deep,profondo,Italiano,ita,aggettivo,a,2,1.0,0.5,uniform_fallback
deep,profundo,Spagnolo,spa,aggettivo,a,3,1.585,0.3333,uniform_fallback
