n_docs,k,precision,context_relevance,precision_bert
1000,3,0.23809523809523808,0.7271329845700946,0.0
1000,5,0.19999999999999998,0.7229742918695722,0.0
1000,10,0.14285714285714285,0.7123155764171055,0.1
1000,15,0.10476190476190476,0.7084435735430036,0.06666666666666667
5000,3,0.2857142857142857,0.722562883581434,0.0
5000,5,0.2857142857142857,0.7233091933386666,0.2
5000,10,0.2571428571428572,0.7210245728492737,0.2
5000,15,0.22857142857142856,0.7177743315696716,0.2
15000,3,0.19047619047619047,0.718542218208313,0.0
15000,5,0.2571428571428572,0.7194462844303676,0.0
15000,10,0.2857142857142857,0.7192326784133911,0.1
15000,15,0.26666666666666666,0.7191501940999713,0.2
25000,3,0.19047619047619047,0.7260353480066571,0.0
25000,5,0.2571428571428572,0.7249680502074105,0.2
25000,10,0.2285714285714286,0.7196673836026873,0.1
25000,15,0.2476190476190476,0.7199532730238778,0.13333333333333333
44949,3,0.14285714285714285,0.7284081833703178,0.0
44949,5,0.1142857142857143,0.7252288205283028,0.0
44949,10,0.24285714285714285,0.7227737733295986,0.1
44949,15,0.19999999999999998,0.7190480317388263,0.06666666666666667
